59,42,17
55,40,15
66,28,38
65,46,19
46,38,8
56,41,15
50,48,2
47,37,10
55,28,27
55,62,-7
56,44,12
43,62,-19
49,35,14
63,48,15
61,41,20
54,69,-15
60,52,8
46,31,15
39,45,-6
66,55,11
67,39,28
54,65,-11
53,60,-7
63,44,19
49,49,0
68,34,34
51,42,9
74,84,-10
57,70,-13
48,57,-9
52,35,17
54,45,9
44,44,0
52,51,1
48,55,-7
57,39,18
63,46,17
49,47,2
63,72,-9
60,62,-2
33,68,-35
53,63,-10
52,44,8
54,65,-11
78,59,19
52,75,-23
52,61,-9
48,41,7
42,68,-26
53,71,-18
65,46,19
63,64,-1
42,70,-28
60,53,7
57,41,16
64,55,9
43,64,-21
60,69,-9
49,70,-21
48,70,-22
45,53,-8
60,43,17
53,94,-41
50,79,-29
49,96,-47
39,58,-19
55,55,0
46,71,-25
46,81,-35
71,70,1
47,83,-36
32,85,-53
49,45,4
30,47,-17
40,46,-6
51,62,-11
43,71,-28
48,57,-9
27,63,-36
46,43,3
69,34,35
44,44,0
52,66,-14
36,58,-22
25,49,-24
47,43,4
56,55,1
44,33,11
41,60,-19
41,86,-45
32,51,-19
32,52,-20
37,62,-25
27,51,-24
23,50,-27
29,61,-32
22,41,-19
33,47,-14
58,33,25
37,48,-11
23,57,-34
21,46,-25
21,54,-33
16,38,-22
21,42,-21
23,35,-12
18,49,-31
18,58,-40
15,40,-25
20,40,-20
19,33,-14
17,35,-18
16,51,-35
20,44,-24
13,62,-49
14,38,-24
28,22,6
17,33,-16
19,18,1
21,29,-8
19,49,-30
15,32,-17
20,21,-1
18,24,-6
32,17,15
32,25,7
18,50,-32
31,25,6
28,32,-4
23,28,-5
21,26,-5
22,36,-14
31,40,-9
22,46,-24
31,34,-3
39,33,6
38,29,9
36,27,9
64,29,35
19,30,-11
50,28,22
61,25,36
48,18,30
